dataset,rep_a,rep_b,cka_score
credit_card_fraud,raw_linear,basis,0.209501
credit_card_fraud,basis,rff,0.307234
credit_card_fraud,rff,basis,0.307234
credit_card_fraud,basis,pca,0.209509
credit_card_fraud,pca,basis,0.209509
credit_card_fraud,basis,poly2,0.022099
credit_card_fraud,poly2,basis,0.022099
credit_card_fraud,raw_linear,rff,0.371937
credit_card_fraud,rff,raw_linear,0.371937
credit_card_fraud,raw_linear,pca,0.99999
credit_card_fraud,pca,raw_linear,0.99999
credit_card_fraud,raw_linear,poly2,0.622512
credit_card_fraud,poly2,raw_linear,0.622512
credit_card_fraud,rff,pca,0.371972
credit_card_fraud,pca,rff,0.371972
credit_card_fraud,rff,poly2,0.016548
credit_card_fraud,poly2,rff,0.016548
credit_card_fraud,pca,poly2,0.622259
credit_card_fraud,poly2,pca,0.622259
fashion_mnist,amplitude,angle,0.740148
fashion_mnist,angle,amplitude,0.740148
fashion_mnist,amplitude,basis,0.003642
fashion_mnist,basis,amplitude,0.003642
fashion_mnist,amplitude,raw_linear,0.725948
fashion_mnist,raw_linear,amplitude,0.725948
fashion_mnist,amplitude,rff,0.74287
fashion_mnist,rff,amplitude,0.74287
fashion_mnist,amplitude,pca,0.725948
fashion_mnist,pca,amplitude,0.725948
fashion_mnist,angle,basis,0.011073
fashion_mnist,basis,angle,0.011073
fashion_mnist,angle,raw_linear,0.972933
fashion_mnist,raw_linear,angle,0.972933
fashion_mnist,angle,rff,0.888118
fashion_mnist,rff,angle,0.888118
fashion_mnist,angle,pca,0.972933
fashion_mnist,pca,angle,0.972933
fashion_mnist,basis,raw_linear,0.011135
fashion_mnist,raw_linear,basis,0.011135
fashion_mnist,basis,rff,0.007652
fashion_mnist,rff,basis,0.007652
fashion_mnist,basis,pca,0.011135
fashion_mnist,pca,basis,0.011135
fashion_mnist,raw_linear,rff,0.860813
fashion_mnist,rff,raw_linear,0.860813
fashion_mnist,raw_linear,pca,1.0
fashion_mnist,pca,raw_linear,1.0
fashion_mnist,rff,pca,0.860813
fashion_mnist,pca,rff,0.860813
cifar10,amplitude,angle,0.629421
cifar10,angle,amplitude,0.629421
cifar10,amplitude,basis,0.00053
cifar10,basis,amplitude,0.00053
cifar10,amplitude,raw_linear,0.618338
cifar10,raw_linear,amplitude,0.618338
cifar10,amplitude,rff,0.579201
cifar10,rff,amplitude,0.579201
cifar10,amplitude,pca,0.618338
cifar10,pca,amplitude,0.618338
cifar10,angle,basis,0.000818
cifar10,basis,angle,0.000818
cifar10,angle,raw_linear,0.970773
cifar10,raw_linear,angle,0.970773
cifar10,angle,rff,0.814756
cifar10,rff,angle,0.814756
cifar10,angle,pca,0.970773
cifar10,pca,angle,0.970773
cifar10,basis,raw_linear,0.000548
cifar10,raw_linear,basis,0.000548
cifar10,basis,rff,0.001119
cifar10,rff,basis,0.001119
cifar10,basis,pca,0.000548
cifar10,pca,basis,0.000548
cifar10,raw_linear,rff,0.72004
cifar10,rff,raw_linear,0.72004
cifar10,raw_linear,pca,1.0
cifar10,pca,raw_linear,1.0
cifar10,rff,pca,0.72004
cifar10,pca,rff,0.72004
high_dim_parity,amplitude,angle,0.962466
high_dim_parity,angle,amplitude,0.962466
high_dim_parity,amplitude,basis,0.358576
high_dim_parity,basis,amplitude,0.358576
high_dim_parity,amplitude,raw_linear,0.988734
high_dim_parity,raw_linear,amplitude,0.988734
high_dim_parity,amplitude,rff,0.531227
high_dim_parity,rff,amplitude,0.531227
high_dim_parity,amplitude,pca,0.965427
high_dim_parity,pca,amplitude,0.965427
high_dim_parity,amplitude,poly2,0.30901
high_dim_parity,poly2,amplitude,0.30901
high_dim_parity,angle,basis,0.358072
high_dim_parity,basis,angle,0.358072
high_dim_parity,angle,raw_linear,0.968205
high_dim_parity,raw_linear,angle,0.968205
high_dim_parity,angle,rff,0.514652
high_dim_parity,rff,angle,0.514652
high_dim_parity,angle,pca,0.945749
high_dim_parity,pca,angle,0.945749
high_dim_parity,angle,poly2,0.352175
high_dim_parity,poly2,angle,0.352175
high_dim_parity,basis,raw_linear,0.362167
high_dim_parity,raw_linear,basis,0.362167
high_dim_parity,basis,rff,0.212669
high_dim_parity,rff,basis,0.212669
high_dim_parity,basis,pca,0.353844
high_dim_parity,pca,basis,0.353844
high_dim_parity,basis,poly2,0.181741
high_dim_parity,poly2,basis,0.181741
high_dim_parity,raw_linear,rff,0.516222
high_dim_parity,rff,raw_linear,0.516222
high_dim_parity,raw_linear,pca,0.976504
high_dim_parity,pca,raw_linear,0.976504
high_dim_parity,raw_linear,poly2,0.31434
high_dim_parity,poly2,raw_linear,0.31434
high_dim_parity,rff,pca,0.504647
high_dim_parity,pca,rff,0.504647
high_dim_parity,rff,poly2,0.354195
high_dim_parity,poly2,rff,0.354195
high_dim_parity,pca,poly2,0.306932
high_dim_parity,poly2,pca,0.306932
high_rank_noise,amplitude,angle,0.983226
high_rank_noise,angle,amplitude,0.983226
high_rank_noise,amplitude,basis,0.177124
high_rank_noise,basis,amplitude,0.177124
high_rank_noise,amplitude,raw_linear,0.997124
high_rank_noise,raw_linear,amplitude,0.997124
high_rank_noise,amplitude,rff,0.572657
high_rank_noise,rff,amplitude,0.572657
high_rank_noise,amplitude,pca,0.996117
high_rank_noise,pca,amplitude,0.996117
high_rank_noise,amplitude,poly2,0.308449
high_rank_noise,poly2,amplitude,0.308449
high_rank_noise,angle,basis,0.190353
high_rank_noise,basis,angle,0.190353
high_rank_noise,angle,raw_linear,0.985464
high_rank_noise,raw_linear,angle,0.985464
high_rank_noise,angle,rff,0.57154
high_rank_noise,rff,angle,0.57154
high_rank_noise,angle,pca,0.984406
high_rank_noise,pca,angle,0.984406
high_rank_noise,angle,poly2,0.339373
high_rank_noise,poly2,angle,0.339373
high_rank_noise,basis,raw_linear,0.175784
high_rank_noise,raw_linear,basis,0.175784
high_rank_noise,basis,rff,0.017397
high_rank_noise,rff,basis,0.017397
high_rank_noise,basis,pca,0.175604
high_rank_noise,pca,basis,0.175604
high_rank_noise,basis,poly2,-0.191547
high_rank_noise,poly2,basis,-0.191547
high_rank_noise,raw_linear,rff,0.569889
high_rank_noise,rff,raw_linear,0.569889
high_rank_noise,raw_linear,pca,0.998975
high_rank_noise,pca,raw_linear,0.998975
high_rank_noise,raw_linear,poly2,0.313832
high_rank_noise,poly2,raw_linear,0.313832
high_rank_noise,rff,pca,0.56928
high_rank_noise,pca,rff,0.56928
high_rank_noise,rff,poly2,0.462733
high_rank_noise,poly2,rff,0.462733
high_rank_noise,pca,poly2,0.313182
high_rank_noise,poly2,pca,0.313182
covertype,amplitude,angle,0.291467
covertype,angle,amplitude,0.291467
covertype,amplitude,basis,0.175499
covertype,basis,amplitude,0.175499
covertype,amplitude,raw_linear,0.202032
covertype,raw_linear,amplitude,0.202032
covertype,amplitude,rff,0.220905
covertype,rff,amplitude,0.220905
covertype,amplitude,pca,0.202032
covertype,pca,amplitude,0.202032
covertype,amplitude,poly2,0.003684
covertype,poly2,amplitude,0.003684
covertype,angle,basis,0.886879
covertype,basis,angle,0.886879
covertype,angle,raw_linear,0.527174
covertype,raw_linear,angle,0.527174
covertype,angle,rff,0.712036
covertype,rff,angle,0.712036
covertype,angle,pca,0.527174
covertype,pca,angle,0.527174
covertype,angle,poly2,0.006674
covertype,poly2,angle,0.006674
covertype,basis,raw_linear,0.445168
covertype,raw_linear,basis,0.445168
covertype,basis,rff,0.634022
covertype,rff,basis,0.634022
covertype,basis,pca,0.445168
covertype,pca,basis,0.445168
covertype,basis,poly2,0.007963
covertype,poly2,basis,0.007963
covertype,raw_linear,rff,0.543099
covertype,rff,raw_linear,0.543099
covertype,raw_linear,pca,1.0
covertype,pca,raw_linear,1.0
covertype,raw_linear,poly2,0.666155
covertype,poly2,raw_linear,0.666155
covertype,rff,pca,0.543099
covertype,pca,rff,0.543099
covertype,rff,poly2,0.016355
covertype,poly2,rff,0.016355
covertype,pca,poly2,0.666155
covertype,poly2,pca,0.666155
higgs,amplitude,angle,0.913702
higgs,angle,amplitude,0.913702
higgs,amplitude,basis,0.581166
higgs,basis,amplitude,0.581166
