dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
high_rank_noise,rbf_svm,baseline_sklearn,5,0.7952,0.00925743,0.01149443,0.7950826,0.00931404,0.01156472,200,0.0,0.0,0.0,0.0,0.0,4.9258462,2.40367511,2.98450836,4.9258462,2.40367511,2.98450836,0.0,0.0,0.0,0.0,0.0,0.0,12.8481562,8.009e-05,9.945e-05
high_rank_noise,mlp,baseline_sklearn,5,0.7842,0.01666433,0.02069117,0.7839762,0.01665861,0.02068406,200,0.0,0.0,0.0,0.0,0.0,3.2830112,0.95143399,1.18134214,3.2830112,0.95143399,1.18134214,0.0,0.0,0.0,0.0,0.0,0.0,19.0422028,0.00153036,0.00190017
high_rank_noise,torch_mlp,baseline_torch,5,0.7774,0.01983179,0.02462402,0.7773566,0.01984171,0.02463633,200,0.0,0.0,,,,,,,17.8168682,6.95719127,8.63835359,,,,,,,0.0139474,0.00022881,0.0002841
covertype,amplitude,qie_sklearn,5,0.5865,0.00324191,0.0040253,0.2133732,0.00293956,0.00364988,64,0.0,0.0,0.01166,0.00050948,0.0006326,12.9562668,1.24828226,1.54992196,12.967927,1.24842553,1.55009985,0.00090482,8.518e-05,0.00010577,55.36244,0.0,0.0,5.3063918,0.00355991,0.00442013
covertype,angle,qie_sklearn,5,0.72544,0.0043558,0.00540835,0.5373516,0.01512223,0.01877642,108,0.0,0.0,0.0742304,0.02683886,0.0333243,45.8310268,4.38477293,5.44432624,45.9052574,4.41040422,5.47615117,0.00158945,0.00039274,0.00048764,120.962416,0.0,0.0,5.3827288,0.00314837,0.00390915
covertype,basis,qie_sklearn,5,0.72428,0.00493477,0.00612723,0.555027,0.01107403,0.01375,432,0.0,0.0,0.1244818,0.16460771,0.20438415,52.2187848,5.02105294,6.23435938,52.3432668,5.14460901,6.38777201,0.00222005,0.00271024,0.00336515,181.443082,0.0,0.0,144.2884654,0.00232475,0.00288651
covertype,amplitude_torch,qie_torch,5,0.52548,0.00426462,0.00529514,0.1751986,0.0061481,0.00763375,64,0.0,0.0,,,,,,,4.9161398,0.24633281,0.30585761,,,,,,,32.449024,0.0,0.0
covertype,angle_torch,qie_torch,5,0.71942,0.0055459,0.00688603,0.4958964,0.02027279,0.02517159,108,0.0,0.0,,,,,,,4.84639,0.17301962,0.21482874,,,,,,,41.26464,0.0,0.0
covertype,basis_torch,qie_torch,5,0.71048,0.00566851,0.00703827,0.5243502,0.0175518,0.02179308,432,0.0,0.0,,,,,,,4.847577,0.25599403,0.31785341,,,,,,,106.270208,0.0,0.0
covertype,raw_linear,baseline_sklearn,5,0.72,0.00323574,0.00401763,0.5219734,0.01285019,0.01595536,54,0.0,0.0,0.0113416,0.00079112,0.00098229,14.8207424,1.79611388,2.2301337,14.832084,1.79678291,2.23096441,0.00076965,6.241e-05,7.75e-05,21.6700852,4.518e-05,5.61e-05,5.266338,0.00380588,0.00472554
covertype,rff,baseline_sklearn,5,0.71196,0.00470829,0.00584602,0.5034368,0.00652458,0.0081012,108,0.0,0.0,0.1728432,0.03490828,0.04334365,9.7304032,1.74308875,2.16429538,9.9032468,1.71951074,2.13501989,0.01820469,0.00656071,0.00814607,51.96418,8.82e-05,0.00010951,5.37377,0.00130021,0.00161439
covertype,poly2,baseline_sklearn,5,0.76494,0.00392721,0.0048762,0.6486412,0.01148394,0.01425896,1539,0.0,0.0,5.2176568,5.4082383,6.7151057,927.4828854,706.91650305,877.7385119,932.7005422,711.84922093,883.8631906,0.00531861,0.00420329,0.00521898,1046.7248996,0.00013554,0.00016829,8.4239958,0.00033419,0.00041495
covertype,pca,baseline_sklearn,5,0.67078,0.00607594,0.00754415,0.3125888,0.01206875,0.01498509,53,0.0,0.0,0.0846328,0.06933569,0.08609023,72.228015,7.76571281,9.64224937,72.312648,7.78540855,9.66670447,0.00115704,0.00095217,0.00118225,21.2941444,0.00017331,0.00021518,5.2585526,0.00035362,0.00043907
covertype,rbf_svm,baseline_sklearn,5,0.7457,0.00405031,0.00502904,0.4931392,0.01253755,0.01556717,54,0.0,0.0,0.0,0.0,0.0,9.3272092,0.12015324,0.14918753,9.3272092,0.12015324,0.14918753,0.0,0.0,0.0,0.0,0.0,0.0,17.4530068,0.00010402,0.00012916
covertype,mlp,baseline_sklearn,5,0.85862,0.00825906,0.01025481,0.7784504,0.00753237,0.00935252,54,0.0,0.0,0.0,0.0,0.0,373.5671464,353.00789012,438.31006749,373.5671464,353.00789012,438.31006749,0.0,0.0,0.0,0.0,0.0,0.0,51.0898656,0.003127,0.00388262
covertype,torch_mlp,baseline_torch,5,0.8564,0.00637966,0.00792126,0.7803638,0.00916123,0.01137498,54,0.0,0.0,,,,,,,7.8508778,0.25532853,0.3170271,,,,,,,31.204352,0.0,0.0
