dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
credit_card_fraud,torch_mlp,baseline_torch,5,0.999449,1.565e-05,1.943e-05,0.9141182,0.00587112,0.00728984,29,0.0,0.0,,,,,,,45.6547054,0.72440584,0.89945404,,,,,,,66.07616,0.0,0.0
fashion_mnist,amplitude,qie_sklearn,5,0.8209,0.00932336,0.01157629,0.8181266,0.00924858,0.01148344,1024,0.0,0.0,0.0328806,0.00159752,0.00198355,74.7094638,11.25923374,13.97995806,74.7423442,11.25795111,13.9783655,0.00045,8.582e-05,0.00010656,165.954456,0.0,0.0,4.8228092,0.00270057,0.00335314
fashion_mnist,angle,qie_sklearn,5,0.8232,0.00423674,0.00526053,0.8236946,0.00444866,0.00552365,1568,0.0,0.0,0.1718614,0.003915,0.00486104,480.2440388,96.11024792,119.33469599,480.4159008,96.11318828,119.33834688,0.0003701,7.845e-05,9.74e-05,351.247216,0.0,0.0,6.593337,0.00151985,0.00188711
fashion_mnist,basis,qie_sklearn,5,0.8192,0.00651537,0.00808976,0.8189972,0.0063241,0.00785227,6272,0.0,0.0,0.1543584,0.00196649,0.00244169,94.2128718,23.68868836,29.41291366,94.36723,23.68803039,29.4120967,0.00171427,0.00039331,0.00048835,526.8686084,3.22e-05,3.998e-05,422.8555316,0.00085264,0.00105868
fashion_mnist,amplitude_torch,qie_torch,5,0.8051,0.00634823,0.00788224,0.8017858,0.00596431,0.00740555,1024,0.0,0.0,,,,,,,1.1666682,0.06383721,0.07926308,,,,,,,61.18144,0.0,0.0
fashion_mnist,angle_torch,qie_torch,5,0.8446,0.00536656,0.00666336,0.8444412,0.00556988,0.0069158,1568,0.0,0.0,,,,,,,1.0082446,0.04341153,0.05390165,,,,,,,84.561408,0.0,0.0
fashion_mnist,basis_torch,qie_torch,5,0.8208,0.00568551,0.00705938,0.8210498,0.00506495,0.00628886,6272,0.0,0.0,,,,,,,1.08796,0.02551583,0.03168158,,,,,,,282.680832,0.0,0.0
fashion_mnist,raw_linear,baseline_sklearn,5,0.7973,0.00725948,0.00901368,0.7974602,0.00674769,0.00837823,784,0.0,0.0,0.0279018,0.0010677,0.00132571,230.2779786,75.7136771,94.00941976,230.3058804,75.71460056,94.01056637,0.00013312,4.643e-05,5.765e-05,56.6294072,2.415e-05,2.999e-05,54.1875206,0.00066945,0.00083122
fashion_mnist,rff,baseline_sklearn,5,0.8047,0.00806691,0.01001623,0.8025594,0.00791508,0.00982771,256,0.0,0.0,0.1099948,0.05964403,0.07405664,4.3682506,0.5230875,0.64948836,4.4782458,0.50269379,0.62416664,0.02518037,0.01367021,0.01697353,56.6345874,3.22e-05,3.998e-05,18.6191472,0.00066514,0.00082587
fashion_mnist,pca,baseline_sklearn,5,0.831,0.00605186,0.00751425,0.830388,0.00633631,0.00786744,256,0.0,0.0,4.104348,1.55881889,1.93549785,23.2740822,1.26517164,1.57089256,27.3784306,2.42731218,3.01385718,0.14737775,0.04466604,0.05545931,12.3067292,2.415e-05,2.999e-05,18.6179962,0.0002279,0.00028297
fashion_mnist,rbf_svm,baseline_sklearn,5,0.853,0.0101612,0.01261659,0.8509892,0.01060528,0.01316798,784,0.0,0.0,0.0,0.0,0.0,3.4885084,0.07641172,0.09487614,3.4885084,0.07641172,0.09487614,0.0,0.0,0.0,0.0,0.0,0.0,125.5344916,0.00027845,0.00034574
fashion_mnist,mlp,baseline_sklearn,5,0.8538,0.00381772,0.00474025,0.8532536,0.00489402,0.00607663,784,0.0,0.0,0.0,0.0,0.0,36.3681384,23.36547707,29.01160036,36.3681384,23.36547707,29.01160036,0.0,0.0,0.0,0.0,0.0,0.0,59.6794072,0.0186057,0.02310165
fashion_mnist,torch_mlp,baseline_torch,5,0.8592,0.00918286,0.01140185,0.8592716,0.00922198,0.01145041,784,0.0,0.0,,,,,,,1.7040888,0.04813109,0.05976167,,,,,,,54.038016,0.0,0.0
cifar10,amplitude,qie_sklearn,5,0.3781,0.01159957,0.01440253,0.370023,0.01176554,0.01460861,4096,0.0,0.0,0.1150892,0.00457315,0.00567823,36.3108932,14.50299938,18.00755965,36.4259822,14.50640815,18.01179213,0.0034673,0.00100311,0.00124551,655.42652,0.0,0.0,14.5737412,0.00163619,0.00203157
cifar10,angle,qie_sklearn,5,0.3057,0.00854839,0.01061406,0.3065344,0.00804656,0.00999097,6144,0.0,0.0,5.47706,7.93375818,9.85090187,554.0431078,245.78642389,305.17919588,559.5201676,252.37999756,313.36606591,0.00803126,0.00911434,0.01131676,1376.307824,0.0,0.0,21.0547814,0.0034172,0.00424295
cifar10,basis,qie_sklearn,5,0.3276,0.00907882,0.01127266,0.3263024,0.00789477,0.00980249,24576,0.0,0.0,13.9616184,13.18620542,16.37257055,79.4747982,21.02109391,26.10071147,93.4364168,30.43505122,37.78949345,0.12812348,0.12113767,0.15040984,2064.4595348,3.944e-05,4.897e-05,1652.8848774,0.00132369,0.00164355
cifar10,amplitude_torch,qie_torch,5,0.368,0.00951972,0.0118201,0.360362,0.01031018,0.01280157,4096,0.0,0.0,,,,,,,1.1666524,0.05934315,0.07368306,,,,,,,191.892992,0.0,0.0
cifar10,angle_torch,qie_torch,5,0.3409,0.01240665,0.01540464,0.3366902,0.01318107,0.01636619,6144,0.0,0.0,,,,,,,1.0858266,0.04665084,0.05792372,,,,,,,277.024256,0.0,0.0
cifar10,basis_torch,qie_torch,5,0.3232,0.00561916,0.006977,0.320701,0.00518128,0.0064333,24576,0.0,0.0,,,,,,,1.0671886,0.03760717,0.04669471,,,,,,,1055.002112,0.0,0.0
cifar10,raw_linear,baseline_sklearn,5,0.2755,0.00927362,0.01151453,0.2751722,0.00862325,0.01070701,3072,0.0,0.0,0.117216,0.01088771,0.01351865,497.705368,186.06270662,231.02361102,497.822584,186.07135163,231.03434505,0.00025643,7.175e-05,8.909e-05,221.5832312,2.415e-05,2.999e-05,208.1110744,0.00130808,0.00162417
cifar10,rff,baseline_sklearn,5,0.3615,0.01303361,0.0161831,0.3565312,0.01238669,0.01537986,256,0.0,0.0,0.2897106,0.00351631,0.004366,4.1213136,0.26674492,0.33120218,4.4110242,0.26774735,0.33244684,0.06585626,0.00371139,0.00460823,221.5884348,3.144e-05,3.903e-05,18.6203362,0.00192298,0.00238766
cifar10,pca,baseline_sklearn,5,0.3672,0.01463557,0.01817217,0.3640592,0.01495234,0.01856548,256,0.0,0.0,5.1959828,2.77014101,3.43952848,12.4035528,1.07002516,1.32859013,17.5995356,3.68244583,4.57228614,0.28264216,0.07962642,0.09886766,127.4753994,2.958e-05,3.672e-05,18.620129,0.00152708,0.00189609
cifar10,rbf_svm,baseline_sklearn,5,0.4573,0.00972497,0.01207495,0.4540068,0.00972865,0.01207951,3072,0.0,0.0,0.0,0.0,0.0,77.7701258,9.05792622,11.24671817,77.7701258,9.05792622,11.24671817,0.0,0.0,0.0,0.0,0.0,0.0,491.6694812,8.937e-05,0.00011096
cifar10,mlp,baseline_sklearn,5,0.4131,0.00797966,0.0099079,0.4127302,0.00849425,0.01054684,3072,0.0,0.0,0.0,0.0,0.0,31.1051196,9.63791784,11.96686119,31.1051196,9.63791784,11.96686119,0.0,0.0,0.0,0.0,0.0,0.0,229.0895246,0.01523689,0.01891879
