dataset,seed,method,method_type,feature_dim,accuracy,f1_macro,encoding_s,training_s,total_s,overhead_ratio,encoding_peak_mb,training_peak_mb
credit_card_fraud,42,amplitude_torch,qie_torch,32,0.998683,0.704395,,,27.130685,,,68.35456
credit_card_fraud,99,amplitude_torch,qie_torch,32,0.998754,0.724494,,,27.643477,,,68.35456
credit_card_fraud,1337,amplitude_torch,qie_torch,32,0.998648,0.705769,,,27.525042,,,68.35456
credit_card_fraud,2026,amplitude_torch,qie_torch,32,0.998543,0.672864,,,29.244033,,,68.35456
credit_card_fraud,7,angle_torch,qie_torch,58,0.99907,0.828799,,,28.527298,,,97.7792
credit_card_fraud,42,angle_torch,qie_torch,58,0.998999,0.827022,,,28.53995,,,97.7792
credit_card_fraud,99,angle_torch,qie_torch,58,0.999105,0.848888,,,27.817245,,,97.7792
credit_card_fraud,1337,angle_torch,qie_torch,58,0.998982,0.822916,,,27.391391,,,97.7792
credit_card_fraud,2026,angle_torch,qie_torch,58,0.998929,0.795034,,,28.264576,,,97.7792
credit_card_fraud,7,basis_torch,qie_torch,232,0.99935,0.88634,,,27.843531,,,296.38656
credit_card_fraud,42,basis_torch,qie_torch,232,0.99928,0.882677,,,27.716094,,,296.38656
credit_card_fraud,99,basis_torch,qie_torch,232,0.999263,0.883149,,,26.59492,,,296.38656
credit_card_fraud,1337,basis_torch,qie_torch,232,0.999175,0.851995,,,28.2836,,,296.38656
credit_card_fraud,2026,basis_torch,qie_torch,232,0.99928,0.870889,,,27.452792,,,296.38656
credit_card_fraud,7,raw_linear,baseline_sklearn,29,0.999192,0.857823,0.311446,2.100207,2.411653,0.1291421278268474,66.144766,7.555374
credit_card_fraud,42,raw_linear,baseline_sklearn,29,0.999157,0.861858,0.049054,2.281243,2.330298,0.021050526585011876,66.144658,7.553998
credit_card_fraud,99,raw_linear,baseline_sklearn,29,0.999245,0.876954,0.049062,1.543727,1.592789,0.03080257334775667,66.144658,7.555418
credit_card_fraud,1337,raw_linear,baseline_sklearn,29,0.998999,0.829091,0.048329,1.336679,1.385007,0.03489440847591384,66.144712,7.554391
credit_card_fraud,2026,raw_linear,baseline_sklearn,29,0.999105,0.843334,0.048338,1.685256,1.733595,0.027883098416873607,66.144712,7.554249
credit_card_fraud,7,rff,baseline_sklearn,58,0.99828,0.49957,0.936752,1.261931,2.198683,0.4260514135052666,158.670799,7.56342
credit_card_fraud,42,rff,baseline_sklearn,58,0.998297,0.509675,0.420096,1.086232,1.506328,0.27888746674031156,158.670682,7.563135
credit_card_fraud,99,rff,baseline_sklearn,58,0.998315,0.52899,0.427987,1.075492,1.503478,0.2846646242911436,158.670619,7.563636
credit_card_fraud,1337,rff,baseline_sklearn,58,0.998297,0.519376,0.512541,1.278808,1.791349,0.2861201251124153,158.670565,7.56398
credit_card_fraud,2026,rff,baseline_sklearn,58,0.998297,0.519376,0.68764,1.209912,1.897552,0.36238269096182874,158.670502,7.562786
credit_card_fraud,7,poly2,baseline_sklearn,464,0.999438,0.909972,12.957268,30.545311,43.502579,0.29785057111211727,1797.34193,7.683853
credit_card_fraud,42,poly2,baseline_sklearn,464,0.999403,0.911309,18.242056,17.944218,36.186274,0.5041153449509613,1797.341714,7.683175
credit_card_fraud,99,poly2,baseline_sklearn,464,0.99935,0.898744,4.65999,22.527427,27.187417,0.17140245430450415,1797.341822,7.683234
credit_card_fraud,1337,poly2,baseline_sklearn,464,0.99935,0.898744,17.548806,28.152389,45.701195,0.38399009041229665,1797.34193,7.686075
credit_card_fraud,2026,poly2,baseline_sklearn,464,0.99935,0.897627,19.682313,21.319319,41.001632,0.48003730680769,1797.341822,7.686753
credit_card_fraud,7,pca,baseline_sklearn,28,0.999175,0.853831,0.102865,37.798095,37.90096,0.002714047348668741,63.873646,7.553819
credit_card_fraud,42,pca,baseline_sklearn,28,0.99914,0.858166,0.07622,28.791763,28.867983,0.002640295305702515,63.873916,7.553401
credit_card_fraud,99,pca,baseline_sklearn,28,0.999228,0.87337,0.173674,29.804857,29.97853,0.005793279390283647,63.873592,7.554035
credit_card_fraud,1337,pca,baseline_sklearn,28,0.999034,0.837036,0.058287,27.704168,27.762455,0.0020994901207404028,63.873592,7.553912
credit_card_fraud,2026,pca,baseline_sklearn,28,0.999087,0.839278,0.05693,24.404588,24.461517,0.002327329085927091,63.873754,7.555202
credit_card_fraud,7,rbf_svm,baseline_sklearn,29,0.998473,0.600535,0.0,1.609677,1.609677,0.0,0.0,14.537725
credit_card_fraud,42,rbf_svm,baseline_sklearn,29,0.998701,0.710612,0.0,1.57671,1.57671,0.0,0.0,14.538036
credit_card_fraud,99,rbf_svm,baseline_sklearn,29,0.99849,0.608713,0.0,1.579448,1.579448,0.0,0.0,14.531196
credit_card_fraud,1337,rbf_svm,baseline_sklearn,29,0.998596,0.654821,0.0,1.54789,1.54789,0.0,0.0,14.528766
credit_card_fraud,2026,rbf_svm,baseline_sklearn,29,0.998508,0.630061,0.0,1.59011,1.59011,0.0,0.0,14.538756
credit_card_fraud,7,mlp,baseline_sklearn,29,0.999438,0.909972,0.0,347.388332,347.388332,0.0,0.0,189.312077
credit_card_fraud,42,mlp,baseline_sklearn,29,0.999438,0.912903,0.0,338.824223,338.824223,0.0,0.0,189.313198
credit_card_fraud,99,mlp,baseline_sklearn,29,0.999386,0.904218,0.0,319.215796,319.215796,0.0,0.0,189.311281
credit_card_fraud,1337,mlp,baseline_sklearn,29,0.999491,0.922332,0.0,346.451011,346.451011,0.0,0.0,189.311933
credit_card_fraud,2026,mlp,baseline_sklearn,29,0.999526,0.927689,0.0,333.208213,333.208213,0.0,0.0,189.31173
credit_card_fraud,7,torch_mlp,baseline_torch,29,0.999456,0.90922,,,46.142257,,,66.07616
credit_card_fraud,42,torch_mlp,baseline_torch,29,0.999421,0.912553,,,44.403105,,,66.07616
credit_card_fraud,99,torch_mlp,baseline_torch,29,0.999456,0.924254,,,45.691399,,,66.07616
credit_card_fraud,1337,torch_mlp,baseline_torch,29,0.999456,0.911292,,,46.138749,,,66.07616
credit_card_fraud,2026,torch_mlp,baseline_torch,29,0.999456,0.913272,,,45.898017,,,66.07616
fashion_mnist,7,amplitude,qie_sklearn,1024,0.8355,0.832883,0.034551,61.986588,62.021138,0.0005570842637553667,165.954456,4.824103
fashion_mnist,42,amplitude,qie_sklearn,1024,0.8145,0.811262,0.034704,67.267392,67.302096,0.000515645159104703,165.954456,4.818373
fashion_mnist,99,amplitude,qie_sklearn,1024,0.823,0.819849,0.031598,82.598344,82.629942,0.0003824037538353833,165.954456,4.825124
fashion_mnist,1337,amplitude,qie_sklearn,1024,0.82,0.817067,0.031733,72.122819,72.154552,0.00043979207299353753,165.954456,4.824252
fashion_mnist,2026,amplitude,qie_sklearn,1024,0.8115,0.809572,0.031817,89.572176,89.603993,0.000355084622177496,165.954456,4.822194
fashion_mnist,7,angle,qie_sklearn,1568,0.8225,0.822837,0.167249,336.353475,336.520724,0.0004969946516577684,351.247216,6.590842
fashion_mnist,42,angle,qie_sklearn,1568,0.8185,0.818208,0.173923,445.682587,445.856511,0.00039008738396555565,351.247216,6.593301
fashion_mnist,99,angle,qie_sklearn,1568,0.8265,0.826727,0.175032,566.85713,567.032163,0.0003086809028150313,351.247216,6.594381
fashion_mnist,1337,angle,qie_sklearn,1568,0.8285,0.829452,0.167978,485.354745,485.522723,0.0003459735086384412,351.247216,6.593441
fashion_mnist,2026,angle,qie_sklearn,1568,0.82,0.821249,0.175125,566.972257,567.147383,0.000308782170647872,351.247216,6.59472
fashion_mnist,7,basis,qie_sklearn,6272,0.8195,0.819716,0.152332,75.600713,75.753045,0.0020109026640447256,526.868594,422.85683
fashion_mnist,42,basis,qie_sklearn,6272,0.808,0.807947,0.157432,76.185053,76.342484,0.0020621807380540565,526.868594,422.854589
fashion_mnist,99,basis,qie_sklearn,6272,0.8245,0.823488,0.152993,127.510614,127.663607,0.0011984073111767867,526.868594,422.855159
fashion_mnist,1337,basis,qie_sklearn,6272,0.8215,0.821663,0.154526,111.031204,111.18573,0.0013898006515764207,526.868666,422.855852
fashion_mnist,2026,basis,qie_sklearn,6272,0.8225,0.822172,0.154509,80.736775,80.891284,0.001910082178940317,526.868594,422.855228
fashion_mnist,7,amplitude_torch,qie_torch,1024,0.814,0.810775,,,1.096248,,,61.18144
fashion_mnist,42,amplitude_torch,qie_torch,1024,0.8025,0.798561,,,1.206988,,,61.18144
fashion_mnist,99,amplitude_torch,qie_torch,1024,0.809,0.804677,,,1.255432,,,61.18144
fashion_mnist,1337,amplitude_torch,qie_torch,1024,0.802,0.799081,,,1.144964,,,61.18144
fashion_mnist,2026,amplitude_torch,qie_torch,1024,0.798,0.795835,,,1.129709,,,61.18144
fashion_mnist,7,angle_torch,qie_torch,1568,0.845,0.844119,,,1.026445,,,84.561408
fashion_mnist,42,angle_torch,qie_torch,1568,0.839,0.839531,,,0.961438,,,84.561408
fashion_mnist,99,angle_torch,qie_torch,1568,0.845,0.845223,,,1.000674,,,84.561408
fashion_mnist,1337,angle_torch,qie_torch,1568,0.853,0.853351,,,0.979941,,,84.561408
fashion_mnist,2026,angle_torch,qie_torch,1568,0.841,0.839982,,,1.072725,,,84.561408
fashion_mnist,7,basis_torch,qie_torch,6272,0.821,0.82189,,,1.078048,,,282.680832
fashion_mnist,42,basis_torch,qie_torch,6272,0.815,0.815818,,,1.073599,,,282.680832
fashion_mnist,99,basis_torch,qie_torch,6272,0.83,0.829158,,,1.131795,,,282.680832
fashion_mnist,1337,basis_torch,qie_torch,6272,0.8175,0.81822,,,1.087846,,,282.680832
fashion_mnist,2026,basis_torch,qie_torch,6272,0.8205,0.820163,,,1.068512,,,282.680832
fashion_mnist,7,raw_linear,baseline_sklearn,784,0.799,0.798834,0.029069,276.842505,276.871574,0.00010499091539097474,56.629418,54.188289
fashion_mnist,42,raw_linear,baseline_sklearn,784,0.791,0.790906,0.026445,163.855199,163.881644,0.00016136645541583658,56.629418,54.188142
fashion_mnist,99,raw_linear,baseline_sklearn,784,0.809,0.808241,0.028055,268.271435,268.29949,0.0001045659833345192,56.629364,54.186913
fashion_mnist,1337,raw_linear,baseline_sklearn,784,0.792,0.793021,0.028692,307.065072,307.093764,9.343074775038413e-05,56.629418,54.187395
fashion_mnist,2026,raw_linear,baseline_sklearn,784,0.7955,0.796299,0.027248,135.355682,135.38293,0.0002012661418983915,56.629418,54.186864
fashion_mnist,7,rff,baseline_sklearn,256,0.8065,0.803767,0.055953,4.85926,4.915213,0.011383636884098412,56.634573,18.619383
fashion_mnist,42,rff,baseline_sklearn,256,0.8115,0.809106,0.124437,3.667342,3.791779,0.03281757718474627,56.634573,18.618769
fashion_mnist,99,rff,baseline_sklearn,256,0.805,0.801721,0.047745,4.750348,4.798093,0.00995082838119228,56.634573,18.618877
fashion_mnist,1337,rff,baseline_sklearn,256,0.8095,0.808632,0.192848,4.599401,4.79225,0.04024164014815587,56.634645,18.618513
fashion_mnist,2026,rff,baseline_sklearn,256,0.791,0.789571,0.128991,3.964902,4.093894,0.031508143591407106,56.634573,18.620194
fashion_mnist,7,pca,baseline_sklearn,256,0.839,0.838643,5.29571,24.38769,29.683401,0.17840644338564843,12.30674,18.617707
fashion_mnist,42,pca,baseline_sklearn,256,0.825,0.824135,3.803668,21.200569,25.004237,0.15212093854333567,12.30674,18.617899
fashion_mnist,99,pca,baseline_sklearn,256,0.8305,0.829622,2.613765,23.3913,26.005065,0.10050984298635669,12.306686,18.618047
fashion_mnist,1337,pca,baseline_sklearn,256,0.835,0.834869,6.108431,24.192546,30.300978,0.20159187601139475,12.30674,18.617997
fashion_mnist,2026,pca,baseline_sklearn,256,0.8255,0.824671,2.700166,23.198306,25.898472,0.10425966443116798,12.30674,18.618331
fashion_mnist,7,rbf_svm,baseline_sklearn,784,0.8655,0.864128,0.0,3.569316,3.569316,0.0,0.0,125.534684
fashion_mnist,42,rbf_svm,baseline_sklearn,784,0.8475,0.845518,0.0,3.489211,3.489211,0.0,0.0,125.534635
fashion_mnist,99,rbf_svm,baseline_sklearn,784,0.8505,0.846973,0.0,3.555481,3.555481,0.0,0.0,125.534036
fashion_mnist,1337,rbf_svm,baseline_sklearn,784,0.861,0.859759,0.0,3.388618,3.388618,0.0,0.0,125.534689
fashion_mnist,2026,rbf_svm,baseline_sklearn,784,0.8405,0.838568,0.0,3.439916,3.439916,0.0,0.0,125.534414
fashion_mnist,7,mlp,baseline_sklearn,784,0.858,0.859081,0.0,75.525308,75.525308,0.0,0.0,59.710931
fashion_mnist,42,mlp,baseline_sklearn,784,0.853,0.853314,0.0,21.906728,21.906728,0.0,0.0,59.673689
fashion_mnist,99,mlp,baseline_sklearn,784,0.851,0.848426,0.0,37.735453,37.735453,0.0,0.0,59.680336
fashion_mnist,1337,mlp,baseline_sklearn,784,0.8575,0.857081,0.0,30.402516,30.402516,0.0,0.0,59.665959
fashion_mnist,2026,mlp,baseline_sklearn,784,0.8495,0.848366,0.0,16.270687,16.270687,0.0,0.0,59.666121
fashion_mnist,7,torch_mlp,baseline_torch,784,0.8575,0.858085,,,1.695596,,,54.038016
fashion_mnist,42,torch_mlp,baseline_torch,784,0.847,0.846942,,,1.64159,,,54.038016
fashion_mnist,99,torch_mlp,baseline_torch,784,0.863,0.862655,,,1.706982,,,54.038016
fashion_mnist,1337,torch_mlp,baseline_torch,784,0.872,0.872211,,,1.776616,,,54.038016
fashion_mnist,2026,torch_mlp,baseline_torch,784,0.8565,0.856465,,,1.69966,,,54.038016
cifar10,7,amplitude,qie_sklearn,4096,0.373,0.3657,0.111515,28.865636,28.97715,0.003848377083322549,655.42652,14.572948
cifar10,42,amplitude,qie_sklearn,4096,0.376,0.370106,0.122074,60.601791,60.723865,0.002010313408080991,655.42652,14.573826
cifar10,99,amplitude,qie_sklearn,4096,0.388,0.379609,0.117425,27.942854,28.060279,0.0041847409999023885,655.42652,14.573481
cifar10,1337,amplitude,qie_sklearn,4096,0.3625,0.352707,0.111965,38.776921,38.888886,0.0028791002138760157,655.42652,14.576409
cifar10,2026,amplitude,qie_sklearn,4096,0.391,0.381993,0.112467,25.367264,25.479731,0.0044139790957761675,655.42652,14.572042
cifar10,7,angle,qie_sklearn,6144,0.3005,0.302058,0.641138,422.703224,423.344362,0.0015144597579405108,1376.307824,21.052248
cifar10,42,angle,qie_sklearn,6144,0.3035,0.304938,18.916818,960.556376,979.473195,0.019313257470001514,1376.307824,21.053121
cifar10,99,angle,qie_sklearn,6144,0.3085,0.30877,0.643437,612.65266,613.296096,0.0010491457620496576,1376.307824,21.055405
cifar10,1337,angle,qie_sklearn,6144,0.297,0.297869,6.532504,386.980776,393.51328,0.016600466444232836,1376.307824,21.052644
cifar10,2026,angle,qie_sklearn,6144,0.319,0.319037,0.651403,387.322503,387.973905,0.001678986631845768,1376.307824,21.060489
cifar10,7,basis,qie_sklearn,24576,0.333,0.332079,0.570648,65.356409,65.927057,0.008655748124779785,2064.459506,1652.884058
cifar10,42,basis,qie_sklearn,24576,0.3175,0.31788,28.50609,101.145012,129.651103,0.21986770139549064,2064.459578,1652.886898
cifar10,99,basis,qie_sklearn,24576,0.3265,0.324765,15.047736,103.660246,118.707982,0.12676262999736615,2064.459506,1652.885139
cifar10,1337,basis,qie_sklearn,24576,0.321,0.320212,25.108771,65.848411,90.957182,0.27605044975997606,2064.459578,1652.884893
cifar10,2026,basis,qie_sklearn,24576,0.34,0.336576,0.574847,61.363913,61.93876,0.009280892933600866,2064.459506,1652.883399
cifar10,7,amplitude_torch,qie_torch,4096,0.364,0.357025,,,1.140547,,,191.892992
cifar10,42,amplitude_torch,qie_torch,4096,0.3705,0.366986,,,1.256271,,,191.892992
cifar10,99,amplitude_torch,qie_torch,4096,0.377,0.366789,,,1.11903,,,191.892992
cifar10,1337,amplitude_torch,qie_torch,4096,0.3535,0.343637,,,1.120111,,,191.892992
cifar10,2026,amplitude_torch,qie_torch,4096,0.375,0.367373,,,1.197303,,,191.892992
cifar10,7,angle_torch,qie_torch,6144,0.3295,0.327249,,,1.032053,,,277.024256
cifar10,42,angle_torch,qie_torch,6144,0.3425,0.340553,,,1.150084,,,277.024256
cifar10,99,angle_torch,qie_torch,6144,0.335,0.330263,,,1.113041,,,277.024256
cifar10,1337,angle_torch,qie_torch,6144,0.336,0.327241,,,1.07778,,,277.024256
cifar10,2026,angle_torch,qie_torch,6144,0.3615,0.358145,,,1.056175,,,277.024256
cifar10,7,basis_torch,qie_torch,24576,0.32,0.318402,,,1.117324,,,1055.002112
cifar10,42,basis_torch,qie_torch,24576,0.3215,0.321169,,,1.052268,,,1055.002112
cifar10,99,basis_torch,qie_torch,24576,0.325,0.32194,,,1.096334,,,1055.002112
cifar10,1337,basis_torch,qie_torch,24576,0.3175,0.31392,,,1.034538,,,1055.002112
cifar10,2026,basis_torch,qie_torch,24576,0.332,0.328074,,,1.035479,,,1055.002112
cifar10,7,raw_linear,baseline_sklearn,3072,0.2645,0.264951,0.112681,377.417392,377.530073,0.0002984689381288044,221.583242,208.110103
cifar10,42,raw_linear,baseline_sklearn,3072,0.28,0.27987,0.116296,680.678179,680.794475,0.00017082394800574724,221.583188,208.110039
cifar10,99,raw_linear,baseline_sklearn,3072,0.267,0.266765,0.136118,719.826743,719.962861,0.00018906252999069628,221.583242,208.112374
cifar10,1337,raw_linear,baseline_sklearn,3072,0.28,0.280875,0.108902,373.105108,373.21401,0.00029179504810122214,221.583242,208.11263
cifar10,2026,raw_linear,baseline_sklearn,3072,0.286,0.2834,0.112083,337.499418,337.611501,0.00033198809776329276,221.583242,208.110226
cifar10,7,rff,baseline_sklearn,256,0.342,0.337923,0.287845,3.897099,4.184944,0.06878108763223595,221.588469,18.618292
cifar10,42,rff,baseline_sklearn,256,0.354,0.349552,0.288524,3.897875,4.186399,0.06891937438356928,221.588469,18.621
cifar10,99,rff,baseline_sklearn,256,0.3705,0.365169,0.287363,4.492967,4.78033,0.060113632322454716,221.588415,18.620859
cifar10,1337,rff,baseline_sklearn,256,0.3705,0.364511,0.295909,4.306623,4.602532,0.06429265456492209,221.588406,18.622948
cifar10,2026,rff,baseline_sklearn,256,0.3705,0.365501,0.288912,4.012004,4.300916,0.06717452747275232,221.588415,18.618582
cifar10,7,pca,baseline_sklearn,256,0.3525,0.350045,3.721841,11.592843,15.314684,0.2430243418669298,127.475367,18.619638
cifar10,42,pca,baseline_sklearn,256,0.385,0.383482,3.627017,11.970956,15.597973,0.23253130390724489,127.475421,18.618606
cifar10,99,pca,baseline_sklearn,256,0.3685,0.365144,10.102651,13.99635,24.099001,0.41921451432779305,127.475421,18.62162
cifar10,1337,pca,baseline_sklearn,256,0.3525,0.348598,4.616449,11.474702,16.091151,0.2868936473220592,127.475421,18.621875
cifar10,2026,pca,baseline_sklearn,256,0.3775,0.373027,3.911956,12.982913,16.894869,0.23154698624771816,127.475367,18.618906
cifar10,7,rbf_svm,baseline_sklearn,3072,0.445,0.441203,0.0,71.955487,71.955487,0.0,0.0,491.669439
cifar10,42,rbf_svm,baseline_sklearn,3072,0.4545,0.451767,0.0,81.136015,81.136015,0.0,0.0,491.669385
cifar10,99,rbf_svm,baseline_sklearn,3072,0.4645,0.460746,0.0,92.272633,92.272633,0.0,0.0,491.669547
cifar10,1337,rbf_svm,baseline_sklearn,3072,0.453,0.450105,0.0,71.9377,71.9377,0.0,0.0,491.669601
cifar10,2026,rbf_svm,baseline_sklearn,3072,0.4695,0.466213,0.0,71.548794,71.548794,0.0,0.0,491.669434
cifar10,7,mlp,baseline_sklearn,3072,0.4015,0.401605,0.0,27.035883,27.035883,0.0,0.0,229.076283
cifar10,42,mlp,baseline_sklearn,3072,0.4095,0.406641,0.0,30.369747,30.369747,0.0,0.0,229.09929
cifar10,99,mlp,baseline_sklearn,3072,0.415,0.415629,0.0,43.516801,43.516801,0.0,0.0,229.092156
cifar10,1337,mlp,baseline_sklearn,3072,0.417,0.416982,0.0,36.561032,36.561032,0.0,0.0,229.107984
cifar10,2026,mlp,baseline_sklearn,3072,0.4225,0.422794,0.0,18.042135,18.042135,0.0,0.0,229.07191
cifar10,7,torch_mlp,baseline_torch,3072,0.421,0.420936,,,1.697622,,,160.664064
cifar10,42,torch_mlp,baseline_torch,3072,0.4145,0.416417,,,1.645915,,,160.664064
cifar10,99,torch_mlp,baseline_torch,3072,0.4395,0.438044,,,1.839611,,,160.664064
cifar10,1337,torch_mlp,baseline_torch,3072,0.4485,0.450047,,,1.761686,,,160.664064
cifar10,2026,torch_mlp,baseline_torch,3072,0.437,0.436726,,,1.651767,,,160.664064
higgs,7,amplitude,qie_sklearn,32,0.64359,0.637422,0.065619,4.962365,5.027984,0.013050757520310326,284.802552,13.258233
higgs,42,amplitude,qie_sklearn,32,0.6421,0.636401,0.070194,5.025767,5.09596,0.013774440929677629,284.802552,13.257371
higgs,99,amplitude,qie_sklearn,32,0.64127,0.635586,0.066582,5.772911,5.839493,0.011402017264170023,284.802552,13.25561
higgs,1337,amplitude,qie_sklearn,32,0.64292,0.637198,0.06584,5.874327,5.940166,0.011083865333056348,284.802552,13.261395
higgs,2026,amplitude,qie_sklearn,32,0.64387,0.638326,0.247386,5.396658,5.644044,0.04383133795555102,284.802552,13.254998
higgs,7,angle,qie_sklearn,56,0.65851,0.649761,3.415576,66.531524,69.947101,0.04883084432620017,627.203024,13.253772
higgs,42,angle,qie_sklearn,56,0.65793,0.649893,0.520569,49.947749,50.468318,0.010314768168021767,627.203024,13.254833
higgs,99,angle,qie_sklearn,56,0.65664,0.648352,0.320753,58.480357,58.80111,0.005454880018421421,627.203024,13.253009
higgs,1337,angle,qie_sklearn,56,0.65839,0.650403,0.331789,61.823887,62.155677,0.005338032115714869,627.203024,13.258734
higgs,2026,angle,qie_sklearn,56,0.65833,0.650157,1.992015,61.352853,63.344868,0.031447141069107606,627.203024,13.258686
higgs,7,basis,qie_sklearn,224,0.67138,0.66762,1.653391,156.535359,158.18875,0.010452013812613098,940.802426,730.095869
higgs,42,basis,qie_sklearn,224,0.66849,0.663898,2.379097,154.298504,156.677601,0.015184665739169696,940.802426,730.096562
higgs,99,basis,qie_sklearn,224,0.66766,0.663174,1.580342,139.723648,141.30399,0.011183987090527309,940.802354,730.098711
higgs,1337,basis,qie_sklearn,224,0.66836,0.664001,0.554813,146.210888,146.765701,0.003780263346406801,940.802354,730.09964
higgs,2026,basis,qie_sklearn,224,0.67121,0.667459,2.136503,154.960749,157.097252,0.013599875063377937,940.802354,730.095122
higgs,7,amplitude_torch,qie_torch,32,0.63498,0.628824,,,48.160748,,,107.511808
higgs,42,amplitude_torch,qie_torch,32,0.63328,0.627984,,,49.472425,,,107.511808
higgs,99,amplitude_torch,qie_torch,32,0.63229,0.626437,,,48.690785,,,107.511808
higgs,1337,amplitude_torch,qie_torch,32,0.63395,0.624533,,,50.122142,,,107.511808
higgs,2026,amplitude_torch,qie_torch,32,0.63454,0.62942,,,48.545687,,,107.511808
higgs,7,angle_torch,qie_torch,56,0.6462,0.63656,,,47.693682,,,156.101632
higgs,42,angle_torch,qie_torch,56,0.6455,0.635589,,,49.781718,,,156.101632
higgs,99,angle_torch,qie_torch,56,0.64489,0.640467,,,49.447561,,,156.101632
higgs,1337,angle_torch,qie_torch,56,0.64615,0.639021,,,47.296377,,,156.101632
higgs,2026,angle_torch,qie_torch,56,0.64499,0.629771,,,47.147447,,,156.101632
higgs,7,basis_torch,qie_torch,224,0.6705,0.667294,,,49.147818,,,492.406784
higgs,42,basis_torch,qie_torch,224,0.66717,0.663135,,,48.338939,,,492.406784
higgs,99,basis_torch,qie_torch,224,0.66656,0.665306,,,46.224335,,,492.406784
higgs,1337,basis_torch,qie_torch,224,0.66492,0.663292,,,46.813736,,,492.406784
higgs,2026,basis_torch,qie_torch,224,0.67025,0.665949,,,46.899236,,,492.406784
higgs,7,raw_linear,baseline_sklearn,28,0.64181,0.633696,0.060774,1.897416,1.95819,0.03103580347157324,100.938346,102.835837
higgs,42,raw_linear,baseline_sklearn,28,0.64055,0.632942,0.064423,1.910846,1.97527,0.0326147817766685,100.938346,102.835483
higgs,99,raw_linear,baseline_sklearn,28,0.64045,0.632896,0.064589,1.734166,1.798755,0.03590761387737629,100.938346,102.835365
higgs,1337,raw_linear,baseline_sklearn,28,0.64181,0.63422,0.066306,1.633299,1.699605,0.039012594102747405,100.938346,102.835812
higgs,2026,raw_linear,baseline_sklearn,28,0.6423,0.634828,0.061066,1.648473,1.709539,0.03572074108867947,100.938292,102.836598
higgs,7,rff,baseline_sklearn,56,0.592,0.582382,0.289067,1.417479,1.706547,0.16938707225760558,134.45073,192.444005
higgs,42,rff,baseline_sklearn,56,0.58996,0.577834,0.206109,1.314619,1.520728,0.13553311308794208,134.451005,192.443622
higgs,99,rff,baseline_sklearn,56,0.58562,0.575909,0.208513,1.511689,1.720202,0.1212142527447358,134.450915,192.444339
higgs,1337,rff,baseline_sklearn,56,0.5847,0.571309,0.293193,1.60118,1.894373,0.15477047022946377,134.450919,192.443583
higgs,2026,rff,baseline_sklearn,56,0.58607,0.574527,0.289624,1.209106,1.498731,0.19324615291203023,134.450429,192.443131
higgs,7,poly2,baseline_sklearn,434,0.67897,0.672681,3.682983,160.852496,164.535478,0.02238412678389034,2256.960484,1402.15842
higgs,42,poly2,baseline_sklearn,434,0.67956,0.673289,17.27984,211.223717,228.503558,0.07562175465119016,2256.960484,1402.15873
higgs,99,poly2,baseline_sklearn,434,0.67707,0.670993,12.804565,180.266837,193.071402,0.06632036058866968,2256.960484,1402.155673
higgs,1337,poly2,baseline_sklearn,434,0.67911,0.673096,13.289129,201.5444,214.833529,0.061857797811439394,2256.960376,1402.165427
higgs,2026,poly2,baseline_sklearn,434,0.67869,0.672692,15.860118,211.829581,227.689699,0.06965672171229846,2256.960214,1402.155083
higgs,7,pca,baseline_sklearn,27,0.61455,0.606412,0.034057,2.078451,2.112509,0.016121588121044687,54.043668,99.634812
higgs,42,pca,baseline_sklearn,27,0.61352,0.605961,0.033972,2.340483,2.374455,0.01430728314497432,54.043776,99.634345
higgs,99,pca,baseline_sklearn,27,0.61283,0.60523,0.033611,2.063393,2.097004,0.016028104858169082,54.043884,99.634581
higgs,1337,pca,baseline_sklearn,27,0.61325,0.605676,0.07358,2.18939,2.262971,0.032514778139004,54.043614,99.633456
higgs,2026,pca,baseline_sklearn,27,0.61361,0.606134,0.033486,2.147127,2.180614,0.01535622535671146,54.043668,99.632979
higgs,7,rbf_svm,baseline_sklearn,28,0.67911,0.673539,0.0,55.009266,55.009266,0.0,0.0,38.158083
higgs,42,rbf_svm,baseline_sklearn,28,0.68025,0.67531,0.0,54.799529,54.799529,0.0,0.0,38.170961
higgs,99,rbf_svm,baseline_sklearn,28,0.68017,0.675109,0.0,53.949739,53.949739,0.0,0.0,38.156213
higgs,1337,rbf_svm,baseline_sklearn,28,0.6767,0.670409,0.0,53.834911,53.834911,0.0,0.0,38.159922
higgs,2026,rbf_svm,baseline_sklearn,28,0.68011,0.674498,0.0,53.776242,53.776242,0.0,0.0,38.161041
higgs,7,mlp,baseline_sklearn,28,0.74448,0.741628,0.0,238.08454,238.08454,0.0,0.0,165.421033
higgs,42,mlp,baseline_sklearn,28,0.74716,0.746257,0.0,205.901963,205.901963,0.0,0.0,165.424455
higgs,99,mlp,baseline_sklearn,28,0.74676,0.745375,0.0,220.028682,220.028682,0.0,0.0,165.426339
higgs,1337,mlp,baseline_sklearn,28,0.74723,0.745682,0.0,219.267023,219.267023,0.0,0.0,165.425562
higgs,2026,mlp,baseline_sklearn,28,0.74803,0.747263,0.0,220.714797,220.714797,0.0,0.0,165.419751
higgs,7,torch_mlp,baseline_torch,28,0.74627,0.74505,,,79.991602,,,100.328448
higgs,42,torch_mlp,baseline_torch,28,0.74921,0.7477,,,80.101705,,,100.328448
