dataset,seed,method,method_type,feature_dim,accuracy,f1_macro,encoding_s,training_s,total_s,overhead_ratio,encoding_peak_mb,training_peak_mb
wine,99,poly3,baseline_sklearn,559,1.0,1.0,0.004214,0.011659,0.015873,0.26548226548226544,1.455384,0.601187
wine,1337,poly3,baseline_sklearn,559,0.944444,0.940741,0.004416,0.009789,0.014206,0.3108545684921864,1.455492,0.598872
wine,2026,poly3,baseline_sklearn,559,0.944444,0.948718,0.004392,0.009562,0.013954,0.31474845922316186,1.455438,0.599476
wine,7,pca,baseline_sklearn,12,0.916667,0.919341,0.00081,0.061515,0.062325,0.01299638989169675,0.032556,0.049029
wine,42,pca,baseline_sklearn,12,0.944444,0.940741,0.000807,0.056332,0.057139,0.014123453333099983,0.032664,0.050655
wine,99,pca,baseline_sklearn,12,0.972222,0.974321,0.000816,0.075361,0.076177,0.010711894666369114,0.032718,0.048463
wine,1337,pca,baseline_sklearn,12,0.916667,0.916212,0.000812,0.093954,0.094766,0.008568473925247452,0.032718,0.048787
wine,2026,pca,baseline_sklearn,12,0.888889,0.894137,0.000831,0.060959,0.06179,0.013448778119436804,0.03261,0.049593
wine,7,rbf_svm,baseline_sklearn,13,0.944444,0.945741,0.0,0.003445,0.003445,0.0,0.0,0.041999
wine,42,rbf_svm,baseline_sklearn,13,0.972222,0.970962,0.0,0.035857,0.035857,0.0,0.0,0.042377
wine,99,rbf_svm,baseline_sklearn,13,1.0,1.0,0.0,0.00342,0.00342,0.0,0.0,0.042485
wine,1337,rbf_svm,baseline_sklearn,13,0.944444,0.945741,0.0,0.003306,0.003306,0.0,0.0,0.042485
wine,2026,rbf_svm,baseline_sklearn,13,0.972222,0.970962,0.0,0.003753,0.003753,0.0,0.0,0.04221
wine,7,mlp,baseline_sklearn,13,0.944444,0.945825,0.0,0.191385,0.191385,0.0,0.0,2.894009
wine,42,mlp,baseline_sklearn,13,0.916667,0.916212,0.0,0.500149,0.500149,0.0,0.0,2.897356
wine,99,mlp,baseline_sklearn,13,1.0,1.0,0.0,0.757874,0.757874,0.0,0.0,2.89934
wine,1337,mlp,baseline_sklearn,13,0.972222,0.974013,0.0,0.261355,0.261355,0.0,0.0,2.898916
wine,2026,mlp,baseline_sklearn,13,0.861111,0.869446,0.0,0.468655,0.468655,0.0,0.0,2.897147
wine,7,torch_mlp,baseline_torch,13,0.916667,0.918167,,,0.146639,,,18.774528
wine,42,torch_mlp,baseline_torch,13,0.972222,0.970962,,,0.137354,,,18.774528
wine,99,torch_mlp,baseline_torch,13,1.0,1.0,,,0.069685,,,18.774528
wine,1337,torch_mlp,baseline_torch,13,0.972222,0.970962,,,0.146584,,,18.774528
wine,2026,torch_mlp,baseline_torch,13,0.944444,0.948718,,,0.068299,,,18.774528
breast_cancer,7,amplitude,qie_sklearn,32,0.798246,0.742613,0.000398,0.004043,0.004441,0.08961945507768522,0.341072,0.06597
breast_cancer,42,amplitude,qie_sklearn,32,0.789474,0.728571,0.000396,0.004026,0.004421,0.08957249491065371,0.341072,0.065159
breast_cancer,99,amplitude,qie_sklearn,32,0.745614,0.652549,0.000395,0.00449,0.004885,0.08085977482088025,0.341072,0.066913
breast_cancer,1337,amplitude,qie_sklearn,32,0.798246,0.742613,0.0004,0.003858,0.004258,0.09394081728511039,0.341072,0.065673
breast_cancer,2026,amplitude,qie_sklearn,32,0.763158,0.684211,0.00039,0.004466,0.004855,0.08032955715756951,0.341072,0.067298
breast_cancer,7,angle,qie_sklearn,60,0.973684,0.971583,0.000861,0.005096,0.005956,0.14456010745466755,0.767456,0.0642
breast_cancer,42,angle,qie_sklearn,60,0.964912,0.962302,0.000625,0.004518,0.005143,0.12152440209994167,0.767456,0.064509
breast_cancer,99,angle,qie_sklearn,60,0.964912,0.962302,0.000624,0.005831,0.006455,0.09666924864446166,0.767456,0.065875
breast_cancer,1337,angle,qie_sklearn,60,1.0,1.0,0.000636,0.005796,0.006432,0.09888059701492537,0.767456,0.063552
breast_cancer,2026,angle,qie_sklearn,60,0.982456,0.981151,0.000608,0.004484,0.005092,0.11940298507462686,0.767456,0.064706
breast_cancer,7,basis,qie_sklearn,240,0.938596,0.934947,0.000686,0.008091,0.008777,0.07815882419961262,1.149074,0.993941
breast_cancer,42,basis,qie_sklearn,240,0.947368,0.942867,0.000585,0.006872,0.007457,0.07844977873139332,1.149074,0.991694
breast_cancer,99,basis,qie_sklearn,240,0.947368,0.942867,0.000589,0.007355,0.007944,0.07414400805639476,1.149074,0.993317
breast_cancer,1337,basis,qie_sklearn,240,0.938596,0.932981,0.000669,0.009147,0.009816,0.06815403422982885,1.149074,0.994458
breast_cancer,2026,basis,qie_sklearn,240,0.929825,0.924603,0.000603,0.010998,0.011601,0.051978277734678044,1.149074,0.991566
breast_cancer,7,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.225877,,,18.209792
breast_cancer,42,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.22831,,,18.209792
breast_cancer,99,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.229464,,,18.209792
breast_cancer,1337,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.224132,,,18.209792
breast_cancer,2026,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.22389,,,18.209792
breast_cancer,7,angle_torch,qie_torch,60,0.947368,0.94223,,,0.06907,,,18.302464
breast_cancer,42,angle_torch,qie_torch,60,0.947368,0.94223,,,0.072433,,,18.302464
breast_cancer,99,angle_torch,qie_torch,60,0.947368,0.941538,,,0.072286,,,18.302464
breast_cancer,1337,angle_torch,qie_torch,60,0.964912,0.961486,,,0.070461,,,18.302464
breast_cancer,2026,angle_torch,qie_torch,60,0.938596,0.933693,,,0.070376,,,18.302464
breast_cancer,7,basis_torch,qie_torch,240,0.921053,0.914749,,,0.069833,,,18.900992
breast_cancer,42,basis_torch,qie_torch,240,0.903509,0.894684,,,0.070735,,,18.900992
breast_cancer,99,basis_torch,qie_torch,240,0.912281,0.903716,,,0.072278,,,18.900992
breast_cancer,1337,basis_torch,qie_torch,240,0.912281,0.902564,,,0.086152,,,18.900992
breast_cancer,2026,basis_torch,qie_torch,240,0.877193,0.866689,,,0.068431,,,18.900992
breast_cancer,7,raw_linear,baseline_sklearn,30,0.964912,0.96266,0.000837,0.003965,0.004803,0.17426608369768895,0.19398,0.051383
breast_cancer,42,raw_linear,baseline_sklearn,30,0.982456,0.981151,0.000817,0.007963,0.008781,0.09304179478419314,0.19398,0.050817
breast_cancer,99,raw_linear,baseline_sklearn,30,0.95614,0.953106,0.000877,0.00872,0.009597,0.09138272376784412,0.19398,0.051594
breast_cancer,1337,raw_linear,baseline_sklearn,30,0.991228,0.990528,0.000896,0.004888,0.005784,0.15491009681881052,0.19398,0.051162
breast_cancer,2026,raw_linear,baseline_sklearn,30,0.973684,0.971583,0.000848,0.004029,0.004877,0.17387738363748206,0.19398,0.051329
breast_cancer,7,rff,baseline_sklearn,60,0.903509,0.893467,0.003196,0.017228,0.020424,0.15648256952604778,0.419173,0.059769
breast_cancer,42,rff,baseline_sklearn,60,0.929825,0.923822,0.003313,0.003169,0.006481,0.5111865452862213,0.418952,0.059877
breast_cancer,99,rff,baseline_sklearn,60,0.938596,0.932206,0.004348,0.003871,0.008219,0.5290181287261224,0.419011,0.060157
breast_cancer,1337,rff,baseline_sklearn,60,0.947368,0.94223,0.004444,0.004308,0.008752,0.5077696526508227,0.418799,0.059887
breast_cancer,2026,rff,baseline_sklearn,60,0.912281,0.907468,0.003662,0.003057,0.00672,0.5449404761904761,0.419119,0.059425
breast_cancer,7,poly2,baseline_sklearn,495,0.964912,0.962987,0.005988,0.009833,0.015821,0.37848429302825354,3.931473,0.200522
breast_cancer,42,poly2,baseline_sklearn,495,0.982456,0.981151,0.006038,0.009291,0.015329,0.3938939265444582,3.931635,0.200557
breast_cancer,99,poly2,baseline_sklearn,495,0.95614,0.953534,0.006333,0.009663,0.015996,0.3959114778694674,3.931581,0.202175
breast_cancer,1337,poly2,baseline_sklearn,495,0.991228,0.990621,0.009737,0.011439,0.021176,0.45981299584435215,3.931527,0.200832
breast_cancer,2026,poly2,baseline_sklearn,495,0.95614,0.953106,0.006126,0.010951,0.017077,0.3587281138373251,3.931527,0.200375
breast_cancer,7,poly3,baseline_sklearn,5455,0.95614,0.953925,0.025218,9.660764,9.685981,0.002603556624775539,42.900441,1.829067
breast_cancer,42,poly3,baseline_sklearn,5455,0.95614,0.953534,0.024033,9.35064,9.374673,0.002563609418696524,42.900549,1.827458
breast_cancer,99,poly3,baseline_sklearn,5455,0.95614,0.953534,0.025075,9.147112,9.172187,0.002733808196453038,42.900603,1.826868
breast_cancer,1337,poly3,baseline_sklearn,5455,0.973684,0.97212,0.025339,11.106719,11.132058,0.0022762188267434467,42.900279,1.829561
breast_cancer,2026,poly3,baseline_sklearn,5455,0.947368,0.94399,0.026341,10.760086,10.786427,0.0024420505511231847,42.900387,1.82561
breast_cancer,7,pca,baseline_sklearn,29,0.95614,0.953534,0.001339,0.131082,0.132421,0.010111689233580775,0.182754,0.049834
breast_cancer,42,pca,baseline_sklearn,29,0.964912,0.961911,0.001052,0.1362,0.137252,0.0076647334829364954,0.182862,0.050104
breast_cancer,99,pca,baseline_sklearn,29,0.929825,0.924603,0.002156,0.122856,0.125012,0.017246344350942307,0.182754,0.049819
breast_cancer,1337,pca,baseline_sklearn,29,0.947368,0.943452,0.001554,0.137579,0.139133,0.011169169068445301,0.18297,0.049534
breast_cancer,2026,pca,baseline_sklearn,29,0.95614,0.953534,0.001325,0.125307,0.126632,0.010463389980415693,0.182646,0.049583
breast_cancer,7,rbf_svm,baseline_sklearn,30,0.95614,0.953534,0.0,0.004728,0.004728,0.0,0.0,0.233851
breast_cancer,42,rbf_svm,baseline_sklearn,30,0.982456,0.981151,0.0,0.004642,0.004642,0.0,0.0,0.234337
breast_cancer,99,rbf_svm,baseline_sklearn,30,0.973684,0.971583,0.0,0.004719,0.004719,0.0,0.0,0.234283
breast_cancer,1337,rbf_svm,baseline_sklearn,30,0.982456,0.981151,0.0,0.004775,0.004775,0.0,0.0,0.234229
breast_cancer,2026,rbf_svm,baseline_sklearn,30,0.964912,0.96266,0.0,0.004725,0.004725,0.0,0.0,0.234337
breast_cancer,7,mlp,baseline_sklearn,30,0.947368,0.942867,0.0,1.464864,1.464864,0.0,0.0,3.859414
breast_cancer,42,mlp,baseline_sklearn,30,0.929825,0.923822,0.0,0.856067,0.856067,0.0,0.0,3.858433
breast_cancer,99,mlp,baseline_sklearn,30,0.964912,0.96266,0.0,2.687205,2.687205,0.0,0.0,3.866581
breast_cancer,1337,mlp,baseline_sklearn,30,0.973684,0.971583,0.0,3.27022,3.27022,0.0,0.0,3.870265
breast_cancer,2026,mlp,baseline_sklearn,30,0.964912,0.962302,0.0,1.969659,1.969659,0.0,0.0,3.859968
breast_cancer,7,torch_mlp,baseline_torch,30,1.0,1.0,,,0.204178,,,19.087872
breast_cancer,42,torch_mlp,baseline_torch,30,0.95614,0.953534,,,0.185799,,,19.087872
breast_cancer,99,torch_mlp,baseline_torch,30,0.964912,0.96266,,,0.117136,,,19.087872
breast_cancer,1337,torch_mlp,baseline_torch,30,0.982456,0.981151,,,0.201116,,,19.087872
breast_cancer,2026,torch_mlp,baseline_torch,30,0.973684,0.971583,,,0.203292,,,19.087872
dry_bean,7,amplitude,qie_sklearn,16,0.260375,0.059024,0.002233,0.024122,0.026356,0.08472454090150251,3.02856,1.476123
dry_bean,42,amplitude,qie_sklearn,16,0.260375,0.059024,0.001996,0.027029,0.029025,0.06876830318690784,3.02856,1.475996
dry_bean,99,amplitude,qie_sklearn,16,0.260375,0.059024,0.002106,0.0232,0.025306,0.08322137042598593,3.02856,1.474475
dry_bean,1337,amplitude,qie_sklearn,16,0.260375,0.059024,0.001976,0.021629,0.023605,0.08371107816140648,3.02856,1.475763
dry_bean,2026,amplitude,qie_sklearn,16,0.260375,0.059024,0.002024,0.029472,0.031496,0.06426212852425704,3.02856,1.476001
dry_bean,7,angle,qie_sklearn,32,0.927653,0.939086,0.008525,0.66957,0.678095,0.01257198475139914,9.75848,1.503994
dry_bean,42,angle,qie_sklearn,32,0.923614,0.934999,0.00808,0.807584,0.815664,0.00990603974185449,9.75848,1.501184
dry_bean,99,angle,qie_sklearn,32,0.929122,0.940182,0.008688,1.087965,1.096654,0.007922279953385479,9.75848,1.507519
dry_bean,1337,angle,qie_sklearn,32,0.917003,0.930508,0.008532,0.970105,0.978638,0.0087182390219877,9.75848,1.499869
dry_bean,2026,angle,qie_sklearn,32,0.92949,0.941322,0.008245,0.972713,0.980959,0.008405040373756702,9.75848,1.503837
dry_bean,7,basis,qie_sklearn,128,0.918472,0.93052,0.00622,12.28098,12.2872,0.0005062178527247867,14.63561,12.841217
dry_bean,42,basis,qie_sklearn,128,0.917003,0.927808,0.006169,11.340455,11.346624,0.0005436859457050837,14.635538,12.839266
dry_bean,99,basis,qie_sklearn,128,0.9148,0.926142,0.005513,10.067722,10.073235,0.0005472919077138575,14.635538,12.841483
